site_code,site_name,site_grade,site_type,area,subarea,job_number_sl6,sap_number
BKK-5001-UR,อาคารสาทรธานี (Sathorn Thani),A,Indoor,กรุงเทพมหานคร,นนทบุรี,SL6-2026-0101,SAP-9001001
BKK-5002-UR,สถานีโทรคมนาคมพระราม 9,A,Indoor,กรุงเทพมหานคร,ปทุมธานี,SL6-2026-0102,SAP-9001002
BKK-5003-UR,อาคารจัสมิน อินเตอร์เนชั่นแนล,B,Indoor,กรุงเทพมหานคร,สมุทรปราการ,SL6-2026-0103,SAP-9001003
BKK-5004-UR,โหนดโครงข่ายบางนา (Bangna Hub),A,Outdoor,กรุงเทพมหานคร,สมุทรสาคร,SL6-2026-0104,SAP-9001004
BKK-5005-UR,สถานีฐานแจ้งวัฒนะ,B,Outdoor,กรุงเทพมหานคร,นนทบุรี,SL6-2026-0105,SAP-9001005
BKK-5006-UR,อาคารสีลม คอมเพล็กซ์,A,Indoor,กรุงเทพมหานคร,สมุทรปราการ,SL6-2026-0106,SAP-9001006
BKK-5007-UR,ศูนย์ควบคุมพญาไท,A,Indoor,กรุงเทพมหานคร,ปทุมธานี,SL6-2026-0107,SAP-9001007
BKK-5008-UR,เสาสัญญาณห้วยขวาง,C,Outdoor,กรุงเทพมหานคร,นนทบุรี,SL6-2026-0108,SAP-9001008
BKK-5009-UR,โหนดโครงข่ายดอนเมือง,B,Outdoor,กรุงเทพมหานคร,ปทุมธานี,SL6-2026-0109,SAP-9001009
BKK-5010-UR,อาคารศูนย์ราชการหลักสี่,A,Indoor,กรุงเทพมหานคร,นนทบุรี,SL6-2026-0110,SAP-9001010
NON-5001-UR,โหนดชุมสายปากเกร็ด,A,Indoor,นนทบุรี,กรุงเทพมหานคร,SL6-2026-0201,SAP-9002001
NON-5002-UR,เสาสัญญาณบางบัวทอง,B,Outdoor,นนทบุรี,ปทุมธานี,SL6-2026-0202,SAP-9002002
NON-5003-UR,สถานีโทรคมนาคมรัตนาธิเบศร์,A,Indoor,นนทบุรี,กรุงเทพมหานคร,SL6-2026-0203,SAP-9002003
NON-5004-UR,ศูนย์กระจายสัญญาณไทรน้อย,C,Outdoor,นนทบุรี,นครปฐม,SL6-2026-0204,SAP-9002004
NON-5005-UR,อาคารชุมสายบางใหญ่,B,Indoor,นนทบุรี,กรุงเทพมหานคร,SL6-2026-0205,SAP-9002005
PTE-5001-UR,ศูนย์คอมพิวเตอร์คลองหลวง,A,Indoor,ปทุมธานี,นนทบุรี,SL6-2026-0301,SAP-9003001
PTE-5002-UR,เสาสัญญาณรังสิต-ปทุมธานี,B,Outdoor,ปทุมธานี,กรุงเทพมหานคร,SL6-2026-0302,SAP-9003002
PTE-5003-UR,โหนดโครงข่ายธัญบุรี,A,Indoor,ปทุมธานี,พระนครศรีอยุธยา,SL6-2026-0303,SAP-9003003
PTE-5004-UR,สถานีโทรคมนาคมลำลูกกา,B,Outdoor,ปทุมธานี,กรุงเทพมหานคร,SL6-2026-0304,SAP-9003004
PTE-5005-UR,เสาโทรคมนาคมสามโคก,C,Outdoor,ปทุมธานี,พระนครศรีอยุธยา,SL6-2026-0305,SAP-9003005
